ID	Customer Age (in months)	"Churn (1 = Yes, 0 = No)"	CHI Score Month 0	CHI Score 0-1	Support Cases Month 0	Support Cases 0-1	SP Month 0	SP 0-1	Logins 0-1	Blog Articles 0-1	Views 0-1	 Days Since Last Login 0-1
" 3,508 "	 11.0 	 -   	 123.0 	 45.0 	 -   	 -   	 -   	 -   	 4.0 	 1.0 	 (203.0)	 (1.0)
" 3,509 "	 11.0 	 -   	 189.0 	 (18.0)	 1.0 	 (5.0)	 3.0 	 -   	 26.0 	 (1.0)	" 3,507.0 "	 -   
" 3,510 "	 11.0 	 -   	 153.0 	 9.0 	 -   	 -   	 -   	 -   	 5.0 	 (1.0)	" 5,298.0 "	 -   
" 3,511 "	 11.0 	 -   	 145.0 	 12.0 	 -   	 -   	 -   	 -   	 11.0 	 (1.0)	" (2,658.0)"	 (10.0)
" 3,512 "	 11.0 	 -   	 142.0 	 (22.0)	 -   	 (1.0)	 -   	 (2.0)	 17.0 	 -   	 469.0 	 1.0 
" 3,513 "	 8.0 	 -   	 22.0 	 -   	 1.0 	 1.0 	 3.0 	 3.0 	 (11.0)	 -   	 (1.0)	 4.0 
" 3,514 "	 10.0 	 -   	 69.0 	 9.0 	 -   	 -   	 -   	 -   	 -   	 -   	 2.0 	 (26.0)
" 3,515 "	 7.0 	 -   	 122.0 	 (5.0)	 1.0 	 1.0 	 3.0 	 3.0 	 31.0 	 -   	 47.0 	 -   
" 3,516 "	 9.0 	 -   	 200.0 	 -   	 1.0 	 1.0 	 3.0 	 3.0 	 66.0 	 (8.0)	 (28.0)	 (1.0)
" 3,517 "	 11.0 	 -   	 103.0 	 22.0 	 7.0 	 4.0 	 3.0 	 -   	 17.0 	 (3.0)	 (31.0)	 2.0 
" 3,518 "	 10.0 	 -   	 190.0 	 2.0 	 1.0 	 (5.0)	 3.0 	 -   	 (5.0)	 (4.0)	 (886.0)	 (1.0)
" 3,519 "	 10.0 	 -   	 191.0 	 48.0 	 4.0 	 2.0 	 3.0 	 -   	 (3.0)	 2.0 	 379.0 	 (1.0)
" 3,520 "	 10.0 	 -   	 135.0 	 (18.0)	 -   	 -   	 -   	 -   	 34.0 	 -   	 234.0 	 (2.0)
" 3,521 "	 10.0 	 -   	 57.0 	 -   	 -   	 -   	 -   	 -   	 (1.0)	 -   	 (44.0)	 16.0 
" 3,522 "	 10.0 	 -   	 17.0 	 (5.0)	 -   	 -   	 -   	 -   	 1.0 	 -   	 -   	 (47.0)
" 3,523 "	 10.0 	 -   	 59.0 	 (15.0)	 -   	 -   	 -   	 -   	 2.0 	 -   	 (312.0)	 5.0 
" 3,524 "	 8.0 	 -   	 21.0 	 (3.0)	 1.0 	 (1.0)	 3.0 	 -   	 33.0 	 -   	 (324.0)	 -   
" 3,525 "	 10.0 	 -   	 41.0 	 (36.0)	 -   	 (1.0)	 -   	 (3.0)	 3.0 	 (1.0)	 15.0 	 5.0 
" 3,526 "	 11.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 (4.0)	 31.0 
" 3,527 "	 11.0 	 -   	 92.0 	 -   	 -   	 (1.0)	 -   	 (3.0)	 (11.0)	 -   	 (28.0)	 (42.0)
" 3,528 "	 11.0 	 -   	 126.0 	 (1.0)	 -   	 -   	 -   	 -   	 -   	 -   	 (233.0)	 2.0 
" 3,529 "	 8.0 	 -   	 95.0 	 (5.0)	 -   	 (1.0)	 -   	 (3.0)	 (12.0)	 -   	 (10.0)	 (2.0)
" 3,530 "	 9.0 	 -   	 31.0 	 7.0 	 -   	 -   	 -   	 -   	 (2.0)	 -   	 (1.0)	 (18.0)
" 3,531 "	 10.0 	 -   	 43.0 	 (1.0)	 -   	 -   	 -   	 -   	 2.0 	 -   	 (45.0)	 31.0 
" 3,532 "	 11.0 	 -   	 121.0 	 (21.0)	 -   	 (2.0)	 -   	 (3.0)	 22.0 	 -   	 68.0 	 (2.0)
" 3,533 "	 9.0 	 -   	 180.0 	 (22.0)	 2.0 	 (1.0)	 3.0 	 -   	 33.0 	 -   	 29.0 	 (1.0)
" 3,534 "	 11.0 	 -   	 162.0 	 1.0 	 -   	 (1.0)	 -   	 (3.0)	 5.0 	 -   	 (8.0)	 -   
" 3,535 "	 10.0 	 -   	 172.0 	 1.0 	 -   	 -   	 -   	 -   	 9.0 	 (2.0)	 (259.0)	 -   
" 3,536 "	 11.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 (1.0)	 31.0 
" 3,537 "	 8.0 	 -   	 159.0 	 (28.0)	 1.0 	 1.0 	 3.0 	 3.0 	 23.0 	 2.0 	 109.0 	 -   
" 3,538 "	 10.0 	 -   	 167.0 	 (27.0)	 -   	 -   	 -   	 -   	 15.0 	 1.0 	 (33.0)	 -   
" 3,539 "	 10.0 	 -   	 115.0 	 (17.0)	 1.0 	 1.0 	 3.0 	 3.0 	 (27.0)	 (9.0)	 15.0 	 -   
" 3,540 "	 10.0 	 -   	 200.0 	 (1.0)	 -   	 -   	 -   	 -   	 28.0 	 -   	 690.0 	 1.0 
" 3,541 "	 9.0 	 -   	 48.0 	 (11.0)	 -   	 -   	 -   	 -   	 (5.0)	 -   	 (14.0)	 (56.0)
" 3,542 "	 11.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
" 3,543 "	 10.0 	 -   	 62.0 	 (38.0)	 -   	 -   	 -   	 -   	 11.0 	 (2.0)	 (126.0)	 20.0 
" 3,544 "	 11.0 	 -   	 120.0 	 (10.0)	 -   	 (1.0)	 -   	 (3.0)	 (1.0)	 -   	 12.0 	 10.0 
" 3,545 "	 11.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
" 3,546 "	 11.0 	 -   	 124.0 	 (15.0)	 1.0 	 1.0 	 3.0 	 3.0 	 (12.0)	 (6.0)	 (150.0)	 -   
" 3,547 "	 10.0 	 -   	 176.0 	 9.0 	 1.0 	 1.0 	 2.0 	 2.0 	 99.0 	 (9.0)	" 2,571.0 "	 -   
" 3,548 "	 11.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 65.0 	 31.0 
" 3,549 "	 10.0 	 -   	 47.0 	 34.0 	 -   	 -   	 -   	 -   	 -   	 -   	 (3.0)	 31.0 
" 3,550 "	 10.0 	 -   	 174.0 	 2.0 	 1.0 	 -   	 4.0 	 2.0 	 45.0 	 (3.0)	 (43.0)	 -   
" 3,551 "	 10.0 	 -   	 219.0 	 (2.0)	 2.0 	 (1.0)	 3.0 	 -   	 90.0 	 1.0 	" (1,163.0)"	 (3.0)
" 3,552 "	 10.0 	 -   	 133.0 	 78.0 	 -   	 -   	 -   	 -   	 167.0 	 7.0 	 (97.0)	 7.0 
" 3,553 "	 10.0 	 -   	 95.0 	 (1.0)	 7.0 	 7.0 	 3.0 	 3.0 	 43.0 	 -   	 (74.0)	 (8.0)
" 3,554 "	 10.0 	 -   	 29.0 	 -   	 -   	 -   	 -   	 -   	 1.0 	 -   	 1.0 	 2.0 
" 3,555 "	 9.0 	 -   	 87.0 	 (49.0)	 -   	 (8.0)	 -   	 (3.0)	 (24.0)	 -   	 (728.0)	 1.0 
" 3,556 "	 11.0 	 -   	 153.0 	 4.0 	 1.0 	 -   	 3.0 	 -   	 102.0 	 1.0 	 127.0 	 -   
" 3,557 "	 10.0 	 -   	 177.0 	 (2.0)	 -   	 -   	 -   	 -   	 (5.0)	 (2.0)	 265.0 	 -   
" 3,558 "	 10.0 	 1.0 	 141.0 	 (6.0)	 1.0 	 1.0 	 -   	 -   	 (1.0)	 (6.0)	 (333.0)	 (1.0)
" 3,559 "	 10.0 	 -   	 135.0 	 46.0 	 -   	 -   	 -   	 -   	 28.0 	 1.0 	 (3.0)	 3.0 
" 3,560 "	 11.0 	 -   	 45.0 	 (7.0)	 -   	 -   	 -   	 -   	 212.0 	 -   	 14.0 	 -   
" 3,561 "	 10.0 	 -   	 201.0 	 73.0 	 -   	 (1.0)	 -   	 (3.0)	 122.0 	 5.0 	 19.0 	 -   
" 3,562 "	 10.0 	 -   	 172.0 	 -   	 -   	 (3.0)	 -   	 (3.0)	 7.0 	 3.0 	 (105.0)	 (13.0)
" 3,563 "	 5.0 	 -   	 56.0 	 (66.0)	 1.0 	 1.0 	 3.0 	 3.0 	 (22.0)	 (6.0)	 (227.0)	 -   
" 3,564 "	 10.0 	 -   	 100.0 	 46.0 	 -   	 -   	 -   	 -   	 21.0 	 1.0 	 (4.0)	 (15.0)
" 3,565 "	 11.0 	 -   	 105.0 	 (8.0)	 -   	 -   	 -   	 -   	 (24.0)	 -   	" 1,222.0 "	 -   
" 3,566 "	 10.0 	 -   	 209.0 	 3.0 	 -   	 -   	 -   	 -   	 50.0 	 3.0 	" (1,733.0)"	 4.0 
" 3,567 "	 11.0 	 -   	 98.0 	 36.0 	 -   	 -   	 -   	 -   	 (8.0)	 2.0 	 (13.0)	 (22.0)
" 3,568 "	 11.0 	 -   	 75.0 	 (10.0)	 1.0 	 1.0 	 3.0 	 3.0 	 8.0 	 -   	 (22.0)	 -   
" 3,569 "	 9.0 	 1.0 	 -   	 (45.0)	 -   	 -   	 -   	 -   	 (15.0)	 -   	 (961.0)	 9.0 
" 3,570 "	 9.0 	 -   	 112.0 	 1.0 	 1.0 	 1.0 	 3.0 	 3.0 	 19.0 	 1.0 	 (317.0)	 (4.0)
" 3,571 "	 10.0 	 -   	 93.0 	 (11.0)	 -   	 -   	 -   	 -   	 2.0 	 (4.0)	 15.0 	 (8.0)
" 3,572 "	 10.0 	 -   	 161.0 	 13.0 	 -   	 (1.0)	 -   	 (3.0)	 31.0 	 -   	" 2,215.0 "	 (1.0)
" 3,573 "	 11.0 	 -   	 162.0 	 (24.0)	 -   	 (3.0)	 -   	 (3.0)	 (9.0)	 (2.0)	 (21.0)	 4.0 
" 3,574 "	 10.0 	 -   	 219.0 	 22.0 	 -   	 -   	 -   	 -   	 46.0 	 (6.0)	 100.0 	 -   
" 3,575 "	 10.0 	 -   	 179.0 	 (6.0)	 1.0 	 (1.0)	 3.0 	 -   	 6.0 	 (5.0)	 41.0 	 -   
" 3,576 "	 10.0 	 -   	 154.0 	 42.0 	 -   	 -   	 -   	 -   	 3.0 	 3.0 	" 2,175.0 "	 (8.0)
" 3,577 "	 11.0 	 -   	 88.0 	 (90.0)	 -   	 -   	 -   	 -   	 (2.0)	 (3.0)	 (120.0)	 -   
" 3,578 "	 11.0 	 -   	 75.0 	 (4.0)	 -   	 (1.0)	 -   	 (2.0)	 48.0 	 -   	 (1.0)	 -   
" 3,579 "	 10.0 	 -   	 83.0 	 20.0 	 -   	 (1.0)	 -   	 (3.0)	 (13.0)	 1.0 	 (445.0)	 -   
" 3,580 "	 11.0 	 -   	 177.0 	 21.0 	 2.0 	 (2.0)	 2.0 	 (0.5)	 45.0 	 (1.0)	 (44.0)	 3.0 
" 3,581 "	 11.0 	 -   	 -   	 (9.0)	 -   	 -   	 -   	 -   	 (1.0)	 -   	 -   	 (106.0)
" 3,582 "	 11.0 	 -   	 57.0 	 (20.0)	 -   	 (3.0)	 -   	 (3.0)	 (37.0)	 -   	 68.0 	 -   
" 3,583 "	 10.0 	 -   	 5.0 	 -   	 1.0 	 1.0 	 3.0 	 3.0 	 (1.0)	 -   	 -   	 (102.0)
" 3,584 "	 10.0 	 1.0 	 14.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 4.0 	 31.0 
" 3,585 "	 10.0 	 -   	 57.0 	 -   	 -   	 -   	 -   	 -   	 3.0 	 -   	 (134.0)	 10.0 
" 3,586 "	 10.0 	 -   	 159.0 	 38.0 	 -   	 -   	 -   	 -   	 -   	 2.0 	 (242.0)	 -   
" 3,587 "	 11.0 	 -   	 111.0 	 27.0 	 -   	 (2.0)	 -   	 (3.0)	 (9.0)	 1.0 	 692.0 	 3.0 
" 3,588 "	 11.0 	 -   	 90.0 	 4.0 	 -   	 -   	 -   	 -   	 (29.0)	 (1.0)	 (37.0)	 5.0 
" 3,589 "	 6.0 	 -   	 144.0 	 2.0 	 -   	 (2.0)	 -   	 (3.0)	 (3.0)	 -   	 91.0 	 (1.0)
" 3,590 "	 11.0 	 -   	 177.0 	 2.0 	 -   	 -   	 -   	 -   	 19.0 	 -   	 (178.0)	 -   
" 3,591 "	 11.0 	 -   	 60.0 	 (1.0)	 -   	 -   	 -   	 -   	 45.0 	 -   	 (9.0)	 (1.0)
" 3,592 "	 10.0 	 -   	 139.0 	 (16.0)	 -   	 -   	 -   	 -   	 (10.0)	 (1.0)	 69.0 	 -   
" 3,593 "	 7.0 	 -   	 23.0 	 (12.0)	 -   	 -   	 -   	 -   	 (5.0)	 -   	 (83.0)	 10.0 
" 3,594 "	 10.0 	 -   	 52.0 	 (15.0)	 -   	 -   	 -   	 -   	 (4.0)	 -   	 465.0 	 -   
" 3,595 "	 11.0 	 -   	 143.0 	 (3.0)	 4.0 	 1.0 	 2.8 	 (0.3)	 (3.0)	 (2.0)	 (206.0)	 -   
" 3,596 "	 10.0 	 -   	 178.0 	 3.0 	 2.0 	 1.0 	 3.0 	 -   	 67.0 	 -   	 (650.0)	 -   
" 3,597 "	 9.0 	 -   	 88.0 	 21.0 	 5.0 	 5.0 	 3.0 	 3.0 	 114.0 	 -   	 (95.0)	 (1.0)
" 3,598 "	 10.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
" 3,599 "	 10.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 (1.0)	 -   	 (1.0)	 2.0 
" 3,600 "	 10.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
" 3,601 "	 7.0 	 -   	 117.0 	 31.0 	 1.0 	 (1.0)	 3.0 	 -   	 65.0 	 4.0 	 (1.0)	 (1.0)
" 3,602 "	 3.0 	 -   	 10.0 	 10.0 	 -   	 -   	 -   	 -   	 18.0 	 -   	 -   	 -   
" 3,603 "	 3.0 	 -   	 66.0 	 66.0 	 -   	 -   	 -   	 -   	 72.0 	 -   	 -   	 -   
" 3,604 "	 9.0 	 1.0 	 -   	 (78.0)	 -   	 -   	 -   	 -   	 (4.0)	 (2.0)	 (915.0)	 3.0 
" 3,605 "	 10.0 	 -   	 208.0 	 (14.0)	 2.0 	 -   	 3.0 	 -   	 91.0 	 (9.0)	 (168.0)	 -   
" 3,606 "	 10.0 	 -   	 104.0 	 8.0 	 2.0 	 1.0 	 3.0 	 -   	 73.0 	 -   	 (36.0)	 (1.0)
" 3,607 "	 10.0 	 -   	 163.0 	 36.0 	 1.0 	 1.0 	 2.0 	 2.0 	 (3.0)	 1.0 	 (420.0)	 (2.0)
" 3,608 "	 10.0 	 -   	 73.0 	 (25.0)	 -   	 -   	 -   	 -   	 (11.0)	 -   	" (2,060.0)"	 (1.0)
" 3,609 "	 10.0 	 -   	 188.0 	 15.0 	 2.0 	 (1.0)	 3.0 	 -   	 67.0 	 -   	 (113.0)	 (1.0)
" 3,610 "	 10.0 	 -   	 94.0 	 (57.0)	 -   	 -   	 -   	 -   	 (22.0)	 (1.0)	 (157.0)	 -   
" 3,611 "	 10.0 	 -   	 188.0 	 16.0 	 2.0 	 1.0 	 3.0 	 -   	 152.0 	 8.0 	 70.0 	 -   
" 3,612 "	 9.0 	 -   	 145.0 	 50.0 	 -   	 -   	 -   	 -   	 110.0 	 -   	 8.0 	 -   
" 3,613 "	 8.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
" 3,614 "	 10.0 	 -   	 139.0 	 (40.0)	 1.0 	 -   	 3.0 	 -   	 49.0 	 (4.0)	 (625.0)	 -   
" 3,615 "	 10.0 	 -   	 38.0 	 (47.0)	 -   	 -   	 -   	 -   	 (4.0)	 (2.0)	 (10.0)	 (3.0)
" 3,616 "	 10.0 	 -   	 130.0 	 -   	 -   	 -   	 -   	 -   	 10.0 	 -   	 (580.0)	 1.0 
" 3,617 "	 9.0 	 -   	 16.0 	 (70.0)	 -   	 -   	 -   	 -   	 (3.0)	 (1.0)	 (29.0)	 (18.0)
" 3,618 "	 9.0 	 -   	 90.0 	 15.0 	 -   	 -   	 -   	 -   	 3.0 	 -   	 15.0 	 23.0 
" 3,619 "	 10.0 	 -   	 91.0 	 15.0 	 -   	 -   	 -   	 -   	 (1.0)	 -   	 -   	 -   
" 3,620 "	 10.0 	 -   	 63.0 	 (10.0)	 -   	 (6.0)	 -   	 (3.0)	 (26.0)	 -   	 (5.0)	 2.0 
" 3,621 "	 9.0 	 -   	 126.0 	 5.0 	 -   	 -   	 -   	 -   	 (10.0)	 -   	" 1,009.0 "	 5.0 
" 3,622 "	 9.0 	 -   	 92.0 	 (36.0)	 -   	 -   	 -   	 -   	 (4.0)	 (1.0)	 (18.0)	 (3.0)
" 3,623 "	 10.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 1.0 	 31.0 
" 3,624 "	 10.0 	 -   	 160.0 	 (6.0)	 -   	 (2.0)	 -   	 (3.0)	 12.0 	 (2.0)	 (372.0)	 -   
" 3,625 "	 10.0 	 -   	 137.0 	 (3.0)	 -   	 -   	 -   	 -   	 (2.0)	 (2.0)	 -   	 13.0 
" 3,626 "	 8.0 	 1.0 	 96.0 	 7.0 	 -   	 -   	 -   	 -   	 (8.0)	 -   	 124.0 	 (8.0)
" 3,627 "	 10.0 	 -   	 175.0 	 20.0 	 2.0 	 (1.0)	 3.0 	 -   	 (19.0)	 -   	 (883.0)	 -   
" 3,628 "	 10.0 	 -   	 181.0 	 (2.0)	 1.0 	 1.0 	 3.0 	 3.0 	 28.0 	 -   	 126.0 	 -   
" 3,629 "	 10.0 	 -   	 79.0 	 (13.0)	 -   	 -   	 -   	 -   	 (67.0)	 (5.0)	 -   	 -   
" 3,630 "	 10.0 	 -   	 27.0 	 25.0 	 -   	 -   	 -   	 -   	 2.0 	 -   	 -   	 31.0 
" 3,631 "	 10.0 	 -   	 64.0 	 (10.0)	 -   	 -   	 -   	 -   	 13.0 	 -   	 (43.0)	 (5.0)
" 3,632 "	 10.0 	 -   	 3.0 	 3.0 	 -   	 -   	 -   	 -   	 -   	 -   	 (15.0)	 31.0 
" 3,633 "	 10.0 	 -   	 215.0 	 26.0 	 6.0 	 5.0 	 3.0 	 -   	 46.0 	 -   	 (2.0)	 -   
" 3,634 "	 10.0 	 -   	 51.0 	 (15.0)	 2.0 	 1.0 	 3.0 	 1.0 	 3.0 	 -   	 (69.0)	 10.0 
" 3,635 "	 9.0 	 -   	 116.0 	 11.0 	 -   	 -   	 -   	 -   	 70.0 	 1.0 	 (6.0)	 -   
" 3,636 "	 10.0 	 -   	 126.0 	 (26.0)	 1.0 	 -   	 3.0 	 -   	 22.0 	 -   	 482.0 	 (1.0)
" 3,637 "	 9.0 	 -   	 160.0 	 51.0 	 1.0 	 1.0 	 2.0 	 2.0 	 4.0 	 1.0 	 28.0 	 2.0 
" 3,638 "	 10.0 	 -   	 33.0 	 32.0 	 -   	 -   	 -   	 -   	 (4.0)	 -   	 -   	 1.0 
" 3,639 "	 10.0 	 -   	 73.0 	 (6.0)	 -   	 -   	 -   	 -   	 (12.0)	 -   	 (4.0)	 (2.0)
" 3,640 "	 7.0 	 -   	 137.0 	 11.0 	 1.0 	 (3.0)	 3.0 	 -   	 7.0 	 (1.0)	" 1,395.0 "	 (56.0)
" 3,641 "	 10.0 	 -   	 151.0 	 26.0 	 -   	 -   	 -   	 -   	 42.0 	 1.0 	 2.0 	 -   
" 3,642 "	 10.0 	 -   	 57.0 	 -   	 -   	 -   	 -   	 -   	 (5.0)	 -   	 (2.0)	 2.0 
" 3,643 "	 10.0 	 -   	 109.0 	 (53.0)	 -   	 (1.0)	 -   	 (3.0)	 34.0 	 (1.0)	 504.0 	 (1.0)
" 3,644 "	 10.0 	 -   	 57.0 	 (10.0)	 -   	 -   	 -   	 -   	 (7.0)	 -   	 (35.0)	 (11.0)
" 3,645 "	 10.0 	 -   	 64.0 	 (39.0)	 -   	 -   	 -   	 -   	 (4.0)	 -   	 (471.0)	 (3.0)
" 3,646 "	 9.0 	 -   	 68.0 	 -   	 -   	 -   	 -   	 -   	 13.0 	 8.0 	 (60.0)	 -   
" 3,647 "	 9.0 	 -   	 15.0 	 (15.0)	 -   	 -   	 -   	 -   	 (4.0)	 -   	 161.0 	 (72.0)
" 3,648 "	 10.0 	 -   	 109.0 	 -   	 -   	 -   	 -   	 -   	 (3.0)	 -   	 573.0 	 11.0 
" 3,649 "	 10.0 	 -   	 193.0 	 5.0 	 -   	 (1.0)	 -   	 (3.0)	 52.0 	 1.0 	 80.0 	 -   
" 3,650 "	 10.0 	 -   	 162.0 	 (7.0)	 1.0 	 -   	 3.0 	 -   	 20.0 	 -   	 46.0 	 -   
" 3,651 "	 9.0 	 -   	 109.0 	 (11.0)	 -   	 (1.0)	 -   	 (3.0)	 9.0 	 -   	 26.0 	 1.0 
" 3,652 "	 9.0 	 -   	 139.0 	 (4.0)	 -   	 (4.0)	 -   	 (3.5)	 45.0 	 -   	 128.0 	 -   
" 3,653 "	 10.0 	 -   	 110.0 	 -   	 1.0 	 (1.0)	 3.0 	 -   	 13.0 	 -   	 6.0 	 3.0 
" 3,654 "	 8.0 	 -   	 178.0 	 (17.0)	 -   	 (3.0)	 -   	 (3.0)	 54.0 	 10.0 	 156.0 	 (5.0)
" 3,655 "	 9.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 1.0 	 31.0 
" 3,656 "	 10.0 	 -   	 83.0 	 40.0 	 -   	 -   	 -   	 -   	 2.0 	 5.0 	 -   	 1.0 
" 3,657 "	 8.0 	 -   	 89.0 	 (69.0)	 2.0 	 2.0 	 3.0 	 3.0 	 37.0 	 (1.0)	 5.0 	 (3.0)
" 3,658 "	 9.0 	 -   	 136.0 	 (2.0)	 -   	 -   	 -   	 -   	 166.0 	 1.0 	 315.0 	 -   
" 3,659 "	 9.0 	 -   	 181.0 	 12.0 	 -   	 (4.0)	 -   	 (3.0)	 (17.0)	 (2.0)	 298.0 	 -   
" 3,660 "	 8.0 	 -   	 98.0 	 52.0 	 1.0 	 1.0 	 3.0 	 3.0 	 4.0 	 2.0 	 32.0 	 3.0 
" 3,661 "	 8.0 	 -   	 174.0 	 (7.0)	 -   	 (2.0)	 -   	 (3.0)	 21.0 	 (2.0)	 783.0 	 -   
" 3,662 "	 9.0 	 -   	 109.0 	 (46.0)	 -   	 (1.0)	 -   	 (3.0)	 (14.0)	 (1.0)	 52.0 	 3.0 
" 3,663 "	 10.0 	 -   	 164.0 	 4.0 	 3.0 	 (5.0)	 2.7 	 (0.3)	 27.0 	 7.0 	 234.0 	 (1.0)
" 3,664 "	 10.0 	 -   	 218.0 	 27.0 	 -   	 -   	 -   	 -   	 12.0 	 1.0 	 (219.0)	 -   
" 3,665 "	 10.0 	 -   	 8.0 	 -   	 1.0 	 1.0 	 3.0 	 3.0 	 2.0 	 -   	 (6.0)	 3.0 
" 3,666 "	 9.0 	 -   	 123.0 	 13.0 	 -   	 -   	 -   	 -   	 7.0 	 (2.0)	 (2.0)	 (1.0)
" 3,667 "	 10.0 	 -   	 64.0 	 4.0 	 2.0 	 -   	 3.0 	 -   	 76.0 	 -   	 -   	 -   
" 3,668 "	 7.0 	 1.0 	 73.0 	 (61.0)	 -   	 (2.0)	 -   	 (3.0)	 (16.0)	 (2.0)	 21.0 	 (1.0)
" 3,669 "	 10.0 	 -   	 6.0 	 (6.0)	 -   	 -   	 -   	 -   	 29.0 	 -   	 -   	 4.0 
" 3,670 "	 10.0 	 1.0 	 117.0 	 16.0 	 -   	 -   	 -   	 -   	 93.0 	 (1.0)	 55.0 	 -   
" 3,671 "	 10.0 	 -   	 -   	 (40.0)	 -   	 -   	 -   	 -   	 -   	 -   	 6.0 	 31.0 
" 3,672 "	 10.0 	 -   	 248.0 	 6.0 	 2.0 	 (7.0)	 3.0 	 0.1 	 94.0 	 3.0 	" 1,125.0 "	 -   
" 3,673 "	 10.0 	 -   	 177.0 	 (6.0)	 2.0 	 2.0 	 3.0 	 3.0 	 58.0 	 (1.0)	" 1,526.0 "	 -   
" 3,674 "	 9.0 	 -   	 139.0 	 38.0 	 -   	 -   	 -   	 -   	 7.0 	 1.0 	 73.0 	 6.0 
" 3,675 "	 9.0 	 -   	 113.0 	 5.0 	 -   	 (2.0)	 -   	 (3.0)	 41.0 	 -   	 (362.0)	 6.0 
" 3,676 "	 9.0 	 -   	 56.0 	 (2.0)	 -   	 -   	 -   	 -   	 (4.0)	 -   	 (16.0)	 -   
" 3,677 "	 9.0 	 -   	 71.0 	 1.0 	 -   	 -   	 -   	 -   	 9.0 	 -   	 (248.0)	 6.0 
" 3,678 "	 6.0 	 -   	 126.0 	 4.0 	 5.0 	 3.0 	 3.0 	 -   	 (10.0)	 (1.0)	 (26.0)	 2.0 
" 3,679 "	 10.0 	 -   	 141.0 	 6.0 	 3.0 	 2.0 	 2.7 	 0.7 	 123.0 	 -   	 (90.0)	 -   
" 3,680 "	 10.0 	 -   	 140.0 	 27.0 	 1.0 	 1.0 	 3.0 	 3.0 	 1.0 	 2.0 	 56.0 	 (1.0)
" 3,681 "	 2.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
" 3,682 "	 5.0 	 1.0 	 73.0 	 26.0 	 5.0 	 5.0 	 3.0 	 3.0 	 98.0 	 -   	 36.0 	 (6.0)
" 3,683 "	 10.0 	 -   	 136.0 	 (40.0)	 1.0 	 1.0 	 -   	 -   	 (18.0)	 (1.0)	 (156.0)	 (2.0)
" 3,684 "	 10.0 	 -   	 59.0 	 (17.0)	 -   	 -   	 -   	 -   	 4.0 	 -   	 162.0 	 3.0 
" 3,685 "	 10.0 	 -   	 176.0 	 (5.0)	 -   	 -   	 -   	 -   	 (5.0)	 (10.0)	" 5,483.0 "	 5.0 
" 3,686 "	 10.0 	 -   	 70.0 	 (13.0)	 1.0 	 1.0 	 3.0 	 3.0 	 4.0 	 (2.0)	 1.0 	 (126.0)
" 3,687 "	 7.0 	 -   	 152.0 	 70.0 	 1.0 	 1.0 	 2.0 	 2.0 	 16.0 	 -   	 65.0 	 3.0 
" 3,688 "	 10.0 	 -   	 131.0 	 (34.0)	 -   	 (1.0)	 -   	 (3.0)	 1.0 	 (1.0)	 (596.0)	 -   
" 3,689 "	 9.0 	 -   	 153.0 	 55.0 	 -   	 (1.0)	 -   	 (3.0)	 27.0 	 -   	 (21.0)	 1.0 
" 3,690 "	 10.0 	 -   	 110.0 	 -   	 1.0 	 1.0 	 3.0 	 3.0 	 (1.0)	 -   	 -   	 3.0 
" 3,691 "	 10.0 	 -   	 -   	 -   	 1.0 	 1.0 	 3.0 	 3.0 	 -   	 -   	 -   	 31.0 
" 3,692 "	 9.0 	 -   	 55.0 	 (12.0)	 -   	 (1.0)	 -   	 (3.0)	 (4.0)	 -   	 23.0 	 11.0 
" 3,693 "	 9.0 	 -   	 67.0 	 17.0 	 -   	 (1.0)	 -   	 (3.0)	 (1.0)	 -   	 (1.0)	 13.0 
" 3,694 "	 10.0 	 -   	 21.0 	 -   	 -   	 (4.0)	 -   	 (3.0)	 (4.0)	 -   	 2.0 	 2.0 
" 3,695 "	 9.0 	 -   	 29.0 	 11.0 	 -   	 -   	 -   	 -   	 5.0 	 -   	 -   	 (82.0)
" 3,696 "	 5.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 (6.0)	 -   	 3.0 	 12.0 
" 3,697 "	 9.0 	 -   	 155.0 	 28.0 	 -   	 -   	 -   	 -   	 8.0 	 30.0 	 (51.0)	 1.0 
